Symbol,Name
ACXP,Acurx Pharmaceuticals Inc. Common Stock
ACY,AeroCentury Corp. Common Stock
ADAG,Adagene Inc. American Depositary Shares
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares
ADALU,Anthemis Digital Acquisitions I Corp Unit
ADALW,Anthemis Digital Acquisitions I Corp Warrant
ADAP,Adaptimmune Therapeutics plc American Depositary Shares
ADBE,Adobe Inc. Common Stock
ADC,Agree Realty Corporation Common Stock
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
ADCT,ADC Therapeutics SA Common Shares
ADER,26 Capital Acquisition Corp. Class A Common Stock
ADERU,26 Capital Acquisition Corp. Unit
ADERW,26 Capital Acquisition Corp. Warrant
ADES,Advanced Emissions Solutions Inc. Common Stock
ADEX,Adit EdTech Acquisition Corp. Common Stock
ADGI,Adagio Therapeutics Inc. Common Stock
ADI,Analog Devices Inc. Common Stock
ADIL,Adial Pharmaceuticals Inc Common Stock
ADILW,Adial Pharmaceuticals Inc Warrant
ADM,Archer-Daniels-Midland Company Common Stock
ADMA,ADMA Biologics Inc Common Stock
ADMP,Adamis Pharmaceuticals Corporation Common Stock
ADN,Advent Technologies Holdings Inc. Class A Common Stock
ADNT,Adient plc Ordinary Shares 
ADNWW,Advent Technologies Holdings Inc. Warrant
ADOC,Edoc Acquisition Corp. Class A Ordinary Share
ADOCW,Edoc Acquisition Corp. Warrant
ADP,Automatic Data Processing Inc. Common Stock
ADPT,Adaptive Biotechnologies Corporation Common Stock
ADRA,Adara Acquisition Corp. Class A Common Stock
ADRT,Ault Disruptive Technologies Corporation Common Stock
ADS,Alliance Data Systems Corporation Common Stock
ADSE,ADS-TEC ENERGY PLC Ordinary Shares
ADSEW,ADS-TEC ENERGY PLC Warrant
ADSK,Autodesk Inc. Common Stock
ADT,ADT Inc. Common Stock
ADTH,AdTheorent Holding Company Inc. Common Stock
ADTHW,AdTheorent Holding Company Inc. Warrants
ADTN,ADTRAN Inc. Common Stock
ADTX,Aditxt Inc. Common Stock
ADUS,Addus HomeCare Corporation Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
ADVM,Adverum Biotechnologies Inc. Common Stock
ADVWW,Advantage Solutions Inc. Warrant
ADX,Adams Diversified Equity Fund Inc.
ADXN,Addex Therapeutics Ltd American Depositary Shares
AE,Adams Resources & Energy Inc. Common Stock
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share
AEACU,Authentic Equity Acquisition Corp. Unit
AEACW,Authentic Equity Acquisition Corp. Warrant
AEAE,AltEnergy Acquisition Corp. Class A Common Stock
AEAEW,AltEnergy Acquisition Corp. Warrant
AEE,Ameren Corporation Common Stock
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEGON N.V. Common Stock
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock
AEHAW,Aesther Healthcare Acquisition Corp Warrants
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
AEHR,Aehr Test Systems Common Stock
AEI,Alset EHome International Inc. Common Stock
AEIS,Advanced Energy Industries Inc. Common Stock
AEL,American Equity Investment Life Holding Company Common Stock
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B
AEM,Agnico Eagle Mines Limited Common Stock
AEMD,Aethlon Medical Inc. Common Stock
AENZ,Aenza S.A.A. American Depositary Shares
AEO,American Eagle Outfitters Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
AEPPL,American Electric Power Company Inc. Corporate Unit
AEPPZ,American Electric Power Company Inc. Corporate Units
AER,AerCap Holdings N.V. Ordinary Shares
AERC,AeroClean Technologies Inc. Common Stock
AERI,Aerie Pharmaceuticals Inc. Common Stock
AES,The AES Corporation Common Stock
AESC,The AES Corporation Corporate Units
AESE,Allied Esports Entertainment Inc. Common Stock
AEVA,Aeva Technologies Inc. Common Stock
AEY,ADDvantage Technologies Group Inc. Common Stock
AEYE,AudioEye Inc. Common Stock
AEZS,Aeterna Zentaris Inc. Common Stock
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock
AFACW,Arena Fortify Acquisition Corp. Warrant
AFAQ,AF Acquisition Corp. Class A Common Stock
AFAQU,AF Acquisition Corp. Units
AFAQW,AF Acquisition Corp. Warrants
AFB,AllianceBernstein National Municipal Income Fund Inc
AFBI,Affinity Bancshares Inc. Common Stock (MD)
AFCG,AFC Gamma Inc. Common Stock
AFG,American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFI,Armstrong Flooring Inc. Common Stock
AFIB,Acutus Medical Inc. Common Stock
AFL,AFLAC Incorporated Common Stock
AFMD,Affimed N.V.
AFRM,Affirm Holdings Inc. Class A Common Stock
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares
AFYA,Afya Limited Class A Common Shares
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares
AGBA,AGBA Acquisition Limited Ordinary Share
AGBAR,AGBA Acquisition Limited Right
AGBAW,AGBA Acquisition Limited Warrant
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
AGCO,AGCO Corporation Common Stock
AGD,Aberdeen Global Dynamic Dividend Fund
AGE,AgeX Therapeutics Inc. Common Stock
AGEN,Agenus Inc. Common Stock
AGFS,AgroFresh Solutions Inc. Common Stock
AGFY,Agrify Corporation Common Stock
AGGR,Agile Growth Corp. Class A Ordinary Share
AGGRU,Agile Growth Corp. Units
AGI,Alamos Gold Inc. Class A Common Shares
AGIL,AgileThought Inc. Class A Common Stock
AGILW,AgileThought Inc. Warrant
AGIO,Agios Pharmaceuticals Inc. Common Stock
AGL,agilon health inc. Common Stock
AGLE,Aeglea BioTherapeutics Inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
AGNC,AGNC Investment Corp. Common Stock
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGO,Assured Guaranty Ltd. Common Stock
AGR,Avangrid Inc. Common Stock
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant
AGRO,Adecoagro S.A. Common Shares
AGRX,Agile Therapeutics Inc. Common Stock
AGS,PlayAGS Inc. Common Stock
AGTC,Applied Genetic Technologies Corporation Common Stock
AGTI,Agiliti Inc. Common Stock
AGX,Argan Inc. Common Stock
AGYS,Agilysys Inc. Common Stock (DE)
AHCO,AdaptHealth Corp. Common Stock
AHG,Akso Health Group ADS
AHH,Armada Hoffler Properties Inc. Common Stock
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
AHI,Advanced Human Imaging Limited. American Depositary Shares
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares
AHPAU,Avista Public Acquisition Corp. II Unit
AHPAW,Avista Public Acquisition Corp. II Warrant
AHPI,Allied Healthcare Products Inc. Common Stock
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares
AHRNU,Ahren Acquisition Corp. Unit
AHRNW,Ahren Acquisition Corp. Warrants
AHT,Ashford Hospitality Trust Inc Common Stock
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
AI,C3.ai Inc. Class A Common Stock
AIB,AIB Acquisition Corporation Class A Ordinary Shares
AIBBR,AIB Acquisition Corporation Right
AIBBU,AIB Acquisition Corporation Unit
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,American International Group Inc. New Common Stock
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
AIHS,Senmiao Technology Limited Common Stock
AIKI,AIkido Pharma Inc. Common Stock
AIM,AIM ImmunoTech Inc. Common Stock
AIMC,Altra Industrial Motion Corp. Common Stock
AIN,Albany International Corporation Common Stock
AINC,Ashford Inc. (Holding Company) Common Stock
AINV,Apollo Investment Corporation Common Stock
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
AIP,Arteris Inc. Common Stock
AIR,AAR Corp. Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AIRG,Airgain Inc. Common Stock
AIRI,Air Industries Group Common Stock
AIRS,AirSculpt Technologies Inc. Common Stock
AIRT,Air T Inc. Common Stock
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
AIT,Applied Industrial Technologies Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,Arthur J. Gallagher & Co. Common Stock
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
AJX,Great Ajax Corp. Common Stock
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKA,a.k.a. Brands Holding Corp. Common Stock
AKAM,Akamai Technologies Inc. Common Stock
AKBA,Akebia Therapeutics Inc. Common Stock
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares
AKICU,Sports Ventures Acquisition Corp. Unit
AKICW,Sports Ventures Acquisition Corp. Warrant
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AKRO,Akero Therapeutics Inc. Common Stock
AKTS,Akoustis Technologies Inc. Common Stock
AKTX,Akari Therapeutics plc ADS
AKU,Akumin Inc. Common Shares
AKUS,Akouos Inc. Common Stock
AKYA,Akoya BioSciences Inc. Common Stock
AL,Air Lease Corporation Class A Common Stock
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A
ALAC,Alberton Acquisition Corporation Ordinary Shares
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021
ALACW,Alberton Acquisition Corporation Warrant
ALB,Albemarle Corporation Common Stock
ALBO,Albireo Pharma Inc. Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCC,AltC Acquisition Corp. Class A Common Stock
ALCO,Alico Inc. Common Stock
ALDX,Aldeyra Therapeutics Inc. Common Stock
ALE,Allete Inc.
ALEC,Alector Inc. Common Stock
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALF,ALFI Inc. Common Stock
ALFIW,ALFI Inc. Warrant
ALG,Alamo Group Inc. Common Stock
ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,Align Technology Inc. Common Stock
ALGS,Aligos Therapeutics Inc. Common Stock
ALGT,Allegiant Travel Company Common Stock
ALHC,Alignment Healthcare Inc. Common Stock
ALIM,Alimera Sciences Inc. Common Stock
ALIN^A,Altera Infrastructure L.P. 7.25% Series A 
ALIN^B,Altera Infrastructure L.P. 8.50% Series B 
ALIN^E,Altera Infrastructure L.P. 8.875% Series E 
ALIT,Alight Inc. Class A Common Stock
ALJJ,ALJ Regional Holdings Inc. Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALKS,Alkermes plc Ordinary Shares
ALKT,Alkami Technology Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
ALLE,Allegion plc Ordinary Shares
ALLK,Allakos Inc. Common Stock
ALLO,Allogene Therapeutics Inc. Common Stock
ALLR,Allarity Therapeutics Inc. Common Stock
ALLT,Allot Ltd. Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALNA,Allena Pharmaceuticals Inc. Common Stock
ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share
ALORW,ALSP Orchid Acquisition Corporation I Warrant
ALOT,AstroNova Inc. Common Stock
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share)
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant
ALPN,Alpine Immune Sciences Inc. Common Stock
ALPP,Alpine 4 Holdings Inc. Class A Common Stock
ALR,AlerisLife Inc. Common Stock
ALRM,Alarm.com Holdings Inc. Common Stock
ALRN,Aileron Therapeutics Inc. Common Stock
ALRS,Alerus Financial Corporation Common Stock
ALSA,Alpha Star Acquisition Corporation Ordinary Shares
ALSAR,Alpha Star Acquisition Corporation Rights
ALSAW,Alpha Star Acquisition Corporation Warrants
ALSN,Allison Transmission Holdings Inc. Common Stock
ALT,Altimmune Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
ALTO,Alto Ingredients Inc. Common Stock
ALTR,Altair Engineering Inc. Class A Common Stock
ALTU,Altitude Acquisition Corp. Class A Common Stock
ALTUU,Altitude Acquisition Corp. Unit
ALTUW,Altitude Acquisition Corp. Warrant
ALV,Autoliv Inc. Common Stock
ALVR,AlloVir Inc. Common Stock
ALX,Alexander's Inc. Common Stock
ALXO,ALX Oncology Holdings Inc. Common Stock
ALYA,Alithya Group inc. Class A Subordinate Voting Shares
ALZN,Alzamend Neuro Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMAL,Amalgamated Financial Corp. Common Stock (DE)
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares)
AMAO,American Acquisition Opportunity Inc. Class A Common Stock
AMAOW,American Acquisition Opportunity Inc. Warrant
AMAT,Applied Materials Inc. Common Stock
AMBA,Ambarella Inc. Ordinary Shares
AMBC,Ambac Financial Group Inc. Common Stock
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCI,AMCI Acquisition Corp. II Class A Common Stock
AMCIU,AMCI Acquisition Corp. II Units
AMCIW,AMCI Acquisition Corp. II Warrant
AMCR,Amcor plc Ordinary Shares
AMCX,AMC Networks Inc. Class A Common Stock
AMD,Advanced Micro Devices Inc. Common Stock
AME,AMETEK Inc.
AMED,Amedisys Inc Common Stock
AMEH,Apollo Medical Holdings Inc. Common Stock
AMG,Affiliated Managers Group Inc. Common Stock
AMGN,Amgen Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMK,AssetMark Financial Holdings Inc. Common Stock
AMKR,Amkor Technology Inc. Common Stock
AMLX,Amylyx Pharmaceuticals Inc. Common Stock
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMNB,American National Bankshares Inc. Common Stock
AMOT,Allied Motion Technologies Inc.
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMP,Ameriprise Financial Inc. Common Stock
AMPE,Ampio Pharmaceuticals Inc.
AMPG,Amplitech Group Inc. Common Stock
AMPGW,Amplitech Group Inc. Warrants
AMPH,Amphastar Pharmaceuticals Inc. Common Stock
AMPI,Advanced Merger Partners Inc. Class A Common Stock
AMPL,Amplitude Inc. Class A Common Stock
AMPS,Altus Power Inc. Class A Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRK,A-Mark Precious Metals Inc. Common Stock
AMRN,Amarin Corporation plc
AMRS,Amyris Inc. Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMS,American Shared Hospital Services Common Stock
AMSC,American Superconductor Corporation Common Stock
AMSF,AMERISAFE Inc. Common Stock
AMST,Amesite Inc. Common Stock
AMSWA,American Software Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMTB,Amerant Bancorp Inc. Class A Common Stock
AMTD,AMTD IDEA Group American Depositary Shares each representing one Class A Ordinary Share
AMTI,Applied Molecular Transport Inc. Common Stock
AMTX,Aemetis Inc. (DE) Common Stock
AMWD,American Woodmark Corporation Common Stock
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
AMYT,Amryt Pharma plc American Depositary Shares
AMZN,Amazon.com Inc. Common Stock
AN,AutoNation Inc. Common Stock
ANAB,AnaptysBio Inc. Common Stock
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
ANAT,American National Group Inc. Common Stock
ANDE,Andersons Inc. (The) Common Stock
ANEB,Anebulo Pharmaceuticals Inc. Common Stock
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANGH,Anghami Inc. Ordinary Shares
ANGHW,Anghami Inc. Warrants
ANGI,Angi Inc. Class A Common Stock
ANGN,Angion Biomedica Corp. Common Stock
ANGO,AngioDynamics Inc. Common Stock
ANIK,Anika Therapeutics Inc. Common Stock
ANIP,ANI Pharmaceuticals Inc.
ANIX,Anixa Biosciences Inc. Common Stock
ANNX,Annexon Inc. Common Stock
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares
ANSS,ANSYS Inc. Common Stock
ANTE,AirNet Technology Inc. American Depositary Shares
ANTM,Anthem Inc. Common Stock
ANVS,Annovis Bio Inc. Common Stock
ANY,Sphere 3D Corp. Common Shares
ANZU,Anzu Special Acquisition Corp I Class A Common Stock
ANZUU,Anzu Special Acquisition Corp I Units
ANZUW,Anzu Special Acquisition Corp I Warrant
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock
AOGOU,Arogo Capital Acquisition Corp. Unit
AOGOW,Arogo Capital Acquisition Corp. Warrant
AOMR,Angel Oak Mortgage Inc. Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AORT,Artivion Inc. Common Stock
AOS,A.O. Smith Corporation Common Stock
AOSL,Alpha and Omega Semiconductor Limited Common Shares
AOUT,American Outdoor Brands Inc. Common Stock 
AP,Ampco-Pittsburgh Corporation Common Stock
APA,APA Corporation Common Stock
APAC,StoneBridge Acquisition Corporation Class A Ordinary Shares
APACU,StoneBridge Acquisition Corporation Unit
APACW,StoneBridge Acquisition Corporation Warrant
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APCX,AppTech Payments Corp. Common Stock
APCXW,AppTech Payments Corp. Warrant
APD,Air Products and Chemicals Inc. Common Stock
APDN,Applied DNA Sciences Inc. Common Stock
APEI,American Public Education Inc. Common Stock
APEN,Apollo Endosurgery Inc. Common Stock
